user_id,daily_screen_time_hours,social_media_hours,study_work_hours,sleep_hours,tasks_completed,gaming_hours,segment,is_anomaly
1,8.22,1.94,4.07,4.29,11.01,3.19,0,False
2,8.69,1.89,3.93,4.0,11.37,3.25,0,False
3,8.71,2.35,3.87,4.0,11.35,3.62,0,False
4,8.24,1.79,3.73,4.0,10.79,3.08,0,False
5,8.11,1.14,3.29,4.0,10.34,2.53,0,False
6,7.75,1.54,3.82,4.14,10.37,2.78,0,False
7,7.59,1.36,4.14,4.66,10.44,2.61,0,False
8,7.9,2.03,3.32,4.0,10.16,3.2,0,False
9,7.76,2.05,3.36,4.0,10.05,3.19,0,False
10,8.17,1.73,3.76,4.0,10.74,3.02,0,False
11,7.73,2.83,3.71,4.0,10.27,3.81,0,False
12,7.52,2.37,3.27,4.0,9.75,3.4,0,False
13,8.09,1.12,3.41,4.0,10.41,2.51,0,False
14,8.09,2.33,3.88,4.08,10.74,3.48,0,False
15,7.95,1.86,3.32,4.0,10.2,3.08,0,False
16,7.68,1.79,4.04,4.48,10.45,2.97,0,False
17,8.15,1.21,3.95,4.15,10.86,2.6,0,False
18,7.83,1.7,3.94,4.28,10.53,2.92,0,False
19,8.46,2.42,3.67,4.0,10.97,3.63,0,False
20,7.86,2.15,4.07,4.44,10.65,3.29,0,False
21,7.78,1.92,3.39,4.0,10.09,3.09,0,False
22,7.46,2.37,4.07,4.61,10.26,3.38,0,False
23,7.97,2.45,3.9,4.16,10.64,3.55,0,False
24,7.71,2.16,4.2,4.69,10.6,3.27,0,False
25,7.98,2.7,2.97,4.0,9.99,3.76,0,False
26,8.37,2.04,3.82,4.0,10.98,3.31,0,False
27,8.04,1.11,3.74,4.0,10.6,2.49,0,False
28,8.16,2.67,3.68,4.0,10.68,3.76,0,False
29,7.64,1.77,3.98,4.41,10.37,2.95,0,False
30,8.15,1.76,4.01,4.23,10.89,3.04,0,False
31,8.04,2.44,3.59,4.0,10.49,3.56,0,False
32,7.85,1.82,3.29,4.0,10.09,3.03,0,False
33,8.13,2.12,3.84,4.0,10.76,3.32,0,False
34,7.89,1.36,3.64,4.0,10.38,2.67,0,False
35,7.85,1.64,3.7,4.0,10.38,2.88,0,False
36,8.18,2.85,3.91,4.08,10.86,3.92,0,False
37,8.12,1.97,3.23,4.0,10.31,3.2,0,False
38,7.99,2.03,4.57,5.11,11.14,3.22,0,False
39,7.91,2.14,3.76,4.0,10.49,3.29,0,False
40,7.47,2.51,3.88,4.34,10.14,3.51,0,False
41,2.32,7.64,6.69,10.56,7.06,6.57,1,False
42,1.44,8.23,6.65,10.88,6.17,6.88,1,False
43,1.6,7.77,6.11,10.04,5.94,6.54,1,False
44,1.8,7.38,6.16,10.03,6.17,6.26,1,False
45,1.58,8.19,5.82,9.63,5.71,6.87,1,False
46,2.62,7.69,6.3,9.87,7.08,6.67,1,False
47,2.33,7.51,6.36,10.09,6.84,6.47,1,False
48,2.52,7.36,6.41,10.07,7.06,6.39,1,False
49,2.1,8.31,5.88,9.51,6.28,7.07,1,False
50,1.47,8.21,6.12,10.12,5.83,6.86,1,False
51,2.1,8.14,6.04,9.73,6.38,6.93,1,False
52,2.09,8.12,6.03,9.71,6.37,6.91,1,False
53,2.75,8.19,6.09,9.52,7.06,7.1,1,False
54,2.26,7.61,6.5,10.31,6.87,6.54,1,False
55,2.46,7.67,6.61,10.39,7.15,6.63,1,False
56,2.17,8.33,6.78,10.76,6.98,7.1,1,False
57,1.9,7.7,5.92,9.64,6.1,6.54,1,False
58,1.67,7.97,6.2,10.14,6.08,6.71,1,False
59,2.11,8.33,6.24,10.01,6.54,7.09,1,False
60,2.58,7.89,7.14,11.0,7.64,6.83,1,False
61,2.25,7.66,5.98,9.57,6.49,6.58,1,False
62,2.19,7.91,6.46,10.29,6.77,6.77,1,False
63,2.19,7.97,6.02,9.66,6.46,6.81,1,False
64,1.39,7.82,6.26,10.34,5.84,6.54,1,False
65,2.09,7.5,6.27,10.07,6.54,6.42,1,False
66,2.15,7.65,6.29,10.06,6.62,6.55,1,False
67,2.02,7.54,6.31,10.14,6.5,6.44,1,False
68,2.22,8.43,6.56,10.42,6.88,7.19,1,False
69,1.45,7.62,6.18,10.21,5.84,6.39,1,False
70,2.21,8.21,7.34,11.0,7.42,7.01,1,False
71,2.23,8.45,6.54,10.38,6.86,7.21,1,False
72,2.26,7.87,6.49,10.3,6.86,6.75,1,False
73,1.69,7.91,5.97,9.81,5.93,6.66,1,False
74,2.03,8.93,5.69,9.25,6.07,7.55,1,False
75,2.27,7.35,6.15,9.81,6.64,6.34,1,False
76,2.44,8.03,6.03,9.57,6.71,6.91,1,False
77,1.71,8.27,5.91,9.71,5.91,6.96,1,False
78,2.09,8.02,6.04,9.74,6.37,6.83,1,False
79,2.86,8.25,5.89,9.19,7.02,7.17,1,False
80,2.07,7.74,6.46,10.34,6.66,6.6,1,False
81,1.68,7.95,6.25,10.2,6.12,6.7,1,False
82,2.35,7.52,6.21,9.87,6.75,6.49,1,False
83,1.81,7.74,6.64,10.71,6.53,6.55,1,False
84,2.16,7.5,6.51,10.37,6.78,6.43,1,False
85,2.85,8.41,6.03,9.39,7.11,7.3,1,False
86,1.81,8.51,5.94,9.72,6.03,7.17,1,False
87,2.18,8.31,5.99,9.63,6.43,7.08,1,False
88,1.98,6.7,5.91,9.59,6.17,5.76,1,False
89,1.9,7.5,6.63,10.65,6.61,6.38,1,False
90,1.43,7.82,6.06,10.05,5.74,6.54,1,False
91,5.65,4.35,5.56,7.52,9.54,4.61,2,False
92,5.0,4.56,5.15,7.21,8.61,4.65,2,False
93,5.09,4.73,5.05,7.03,8.62,4.8,2,False
94,4.83,5.05,5.16,7.3,8.44,5.01,2,False
95,5.71,4.44,5.89,7.96,9.84,4.7,2,False
96,4.12,4.93,4.92,7.26,7.58,4.77,2,False
97,5.13,4.72,4.97,6.91,8.6,4.8,2,False
98,4.78,4.73,5.2,7.38,8.42,4.74,2,False
99,5.16,4.69,5.33,7.4,8.9,4.78,2,False
100,5.14,5.37,5.24,7.28,8.81,5.32,2,False
101,4.63,4.75,5.12,7.34,8.22,4.72,2,False
102,5.27,4.99,5.12,7.05,8.86,5.05,2,False
103,5.57,4.73,5.34,7.25,9.31,4.9,2,False
104,4.91,4.9,5.32,7.49,8.64,4.9,2,False
