Annual_Income,Spending_Score
43,66
188,58
98,52
40,91
148,85
201,85
59,37
192,72
23,28
89,42
117,75
110,38
81,56
20,74
35,20
27,23
190,89
26,17
49,64
38,82
136,33
124,20
15,38
35,73
83,58
129,23
115,40
164,25
24,22
191,93
130,14
179,75
39,77
169,85
23,24
143,72
38,75
147,19
30,23
33,73
71,47
72,44
35,30
34,24
36,21
146,33
86,52
31,66
45,23
29,76
62,61
44,80
166,76
58,32
31,61
122,21
27,66
33,10
94,49
171,61
97,31
79,44
34,79
30,28
35,25
78,42
128,13
29,22
114,19
134,40
119,29
28,25
29,24
40,100
177,81
85,59
93,50
96,40
24,35
37,74
188,85
32,35
70,42
224,71
36,13
62,57
166,79
47,64
34,67
106,31
100,29
59,58
172,76
115,24
88,57
25,22
26,44
188,69
38,76
36,70
216,77
183,80
32,30
150,84
94,53
23,13
178,89
156,33
30,34
161,67
38,29
29,64
67,58
89,44
130,34
112,33
34,80
104,39
125,31
37,20
167,83
81,55
83,64
155,19
27,9
128,19
27,85
172,93
37,14
129,28
43,27
93,45
141,35
21,23
184,89
180,84
182,87
33,85
119,11
26,15
31,77
177,92
26,33
15,74
28,70
82,53
154,92
42,1
30,69
73,17
28,75
37,85
37,19
42,25
76,45
115,43
33,88
86,65
35,74
148,29
77,64
181,74
76,47
32,30
86,42
39,19
152,24
33,23
190,90
79,53
150,25
79,52
42,80
186,78
29,11
82,52
27,33
37,11
65,49
38,77
98,39
32,18
46,22
80,56
96,41
128,19
142,20
35,88
138,15
105,15
182,73
76,63
33,74
139,29
30,81
186,76
36,25
28,20
31,20
31,78
24,32
149,84
137,31
28,25
181,73
113,22
154,76
134,31
36,65
73,44
87,40
27,82
28,33
48,55
32,22
129,24
33,21
155,75
37,61
23,75
184,68
34,74
46,71
28,25
45,78
132,11
126,25
85,54
62,53
154,88
48,75
29,71
126,29
123,83
179,89
27,26
83,42
44,80
192,87
33,17
89,58
125,34
31,18
159,98
95,45
38,25
21,15
33,23
30,87
61,26
47,82
156,18
164,78
154,16
107,43
34,85
32,13
27,85
188,100
38,13
171,85
25,76
83,48
137,25
62,65
199,80
112,28
15,16
186,95
166,27
96,53
199,86
38,81
33,82
160,83
95,37
117,35
26,25
98,32
42,77
23,11
97,60
33,15
30,33
88,32
199,77
91,35
45,33
40,68
121,36
26,33
143,95
78,43
162,96
78,52
37,73
34,56
24,72
184,72
31,61
135,32
22,22
88,62
31,31
152,28
108,45
31,31
26,22
26,28
94,41
204,91
174,77
187,66
140,80
43,58
227,89
196,87
154,31
36,63
121,36
34,27
41,34
75,36
28,31
111,25
138,88
34,25
147,92
118,43
48,80
27,19
30,27
24,22
33,65
36,62
81,57
24,72
122,22
128,30
203,82
86,46
27,55
61,41
81,54
29,67
127,41
77,35
85,57
29,16
73,51
39,27
72,37
32,57
164,84
33,35
37,95
28,25
30,17
89,41
45,94
88,37
80,40
37,70
115,19
43,30
99,34
28,79
113,27
136,23
30,77
84,49
194,89
196,60
47,69
36,23
197,85
161,54
199,89
89,40
193,81
119,31
19,18
84,47
42,32
150,19
145,34
127,9
32,30
126,23
121,17
151,26
101,51
34,73
40,71
27,16
41,16
194,95
40,82
72,59
30,23
73,32
160,67
29,16
191,98
199,82
25,27
40,76
83,24
108,27
185,77
42,79
182,84
69,51
172,72
51,77
115,25
29,29
36,23
180,87
122,20
80,61
215,88
108,15
148,87
36,21
146,72
43,11
40,58
47,79
185,73
22,20
33,76
28,22
42,25
135,27
180,78
179,85
41,24
123,17
179,66
30,72
39,81
76,41
115,23
19,81
82,35
112,41
131,6
25,27
119,43
34,89
75,60
124,26
79,47
187,82
25,33
30,14
35,69
43,69
163,100
151,34
198,79
26,22
122,29
190,90
189,80
150,24
39,75
67,81
72,40
23,30
100,22
38,18
110,46
223,78
36,70
87,61
93,36
84,42
22,80
113,17
124,37
179,81
141,64
88,55
168,73
46,23
50,80
25,25
33,16
128,15
37,14
134,34
48,33
69,65
186,91
171,74
35,79
40,67
15,30
172,81
39,100
169,100
31,73
101,25
29,28
163,89
142,91
64,47
140,71
99,20
71,44
33,21
37,19
197,68
152,68
30,19
33,27
19,20
36,69
38,26
31,78
101,48
97,74
113,30
199,79
29,25
174,89
149,32
69,58
118,25
26,33
44,70
75,53
43,28
28,21
47,49
115,19
22,29
176,94
79,48
183,71
30,73
28,78
31,38
187,95
175,81
156,78
156,20
148,64
172,77
182,80
35,63
23,26
87,43
141,25
24,12
47,72
48,65
131,31
20,72
70,55
77,56
47,76
79,52
38,73
140,95
132,20
98,58
143,27
34,93
37,74
81,40
148,87
33,30
108,50
82,39
32,24
105,25
29,87
95,54
35,75
31,24
36,25
68,42
28,23
33,69
23,19
126,23
38,36
184,82
131,33
34,23
27,22
111,40
184,100
97,49
45,28
33,71
66,47
90,42
190,69
163,17
104,78
48,82
28,52
31,30
188,76
21,18
45,73
40,75
75,56
73,25
72,45
125,19
89,59
100,56
169,94
121,27
151,29
33,81
138,29
110,29
32,35
35,72
117,60
74,49
189,96
39,93
29,29
30,30
135,29
18,24
37,31
149,33
38,77
32,27
92,70
181,79
119,40
172,78
115,33
36,19
37,72
41,15
144,89
39,65
33,27
32,21
99,32
31,75
32,90
64,39
194,70
95,48
33,81
36,79
83,54
137,27
37,82
20,21
38,28
83,35
96,22
34,25
193,80
103,31
96,44
117,23
150,29
31,29
30,21
125,16
32,24
68,47
160,83
50,79
144,94
38,25
141,30
134,21
162,94
48,73
124,28
168,78
37,56
79,30
92,40
40,80
162,4
50,79
93,31
91,47
112,30
168,86
38,21
33,10
32,86
96,27
164,68
57,59
34,33
39,81
103,47
107,33
160,75
86,47
115,2
191,86
173,95
50,67
91,34
34,81
65,34
106,40
161,78
39,28
196,83
80,59
29,77
37,37
127,89
111,34
118,27
25,77
31,23
35,86
189,86
23,20
110,44
81,68
87,43
132,85
87,54
166,85
128,57
31,64
112,51
37,78
94,48
35,18
29,12
173,83
60,49
186,73
44,86
109,64
131,30
179,67
31,36
143,40
32,20
30,19
46,68
113,21
86,38
97,25
29,71
181,74
115,57
196,76
71,74
111,42
227,89
47,67
209,72
101,27
138,18
36,26
70,41
169,76
35,20
16,16
121,35
36,61
37,26
148,8
