Annual_Income,Spending_Score,Cluster
43,66,2
188,58,1
98,52,0
40,91,2
148,85,1
201,85,1
59,37,0
192,72,1
23,28,3
89,42,0
117,75,0
110,38,0
81,56,0
20,74,2
35,20,3
27,23,3
190,89,1
26,17,3
49,64,2
38,82,2
136,33,0
124,20,0
15,38,3
35,73,2
83,58,0
129,23,0
115,40,0
164,25,0
24,22,3
191,93,1
130,14,0
179,75,1
39,77,2
169,85,1
23,24,3
143,72,1
38,75,2
147,19,0
30,23,3
33,73,2
71,47,0
72,44,0
35,30,3
34,24,3
36,21,3
146,33,0
86,52,0
31,66,2
45,23,3
29,76,2
62,61,0
44,80,2
166,76,1
58,32,0
31,61,2
122,21,0
27,66,2
33,10,3
94,49,0
171,61,1
97,31,0
79,44,0
34,79,2
30,28,3
35,25,3
78,42,0
128,13,0
29,22,3
114,19,0
134,40,0
119,29,0
28,25,3
29,24,3
40,100,2
177,81,1
85,59,0
93,50,0
96,40,0
24,35,3
37,74,2
188,85,1
32,35,3
70,42,0
224,71,1
36,13,3
62,57,0
166,79,1
47,64,2
34,67,2
106,31,0
100,29,0
59,58,0
172,76,1
115,24,0
88,57,0
25,22,3
26,44,2
188,69,1
38,76,2
36,70,2
216,77,1
183,80,1
32,30,3
150,84,1
94,53,0
23,13,3
178,89,1
156,33,0
30,34,3
161,67,1
38,29,3
29,64,2
67,58,0
89,44,0
130,34,0
112,33,0
34,80,2
104,39,0
125,31,0
37,20,3
167,83,1
81,55,0
83,64,0
155,19,0
27,9,3
128,19,0
27,85,2
172,93,1
37,14,3
129,28,0
43,27,3
93,45,0
141,35,0
21,23,3
184,89,1
180,84,1
182,87,1
33,85,2
119,11,0
26,15,3
31,77,2
177,92,1
26,33,3
15,74,2
28,70,2
82,53,0
154,92,1
42,1,3
30,69,2
73,17,0
28,75,2
37,85,2
37,19,3
42,25,3
76,45,0
115,43,0
33,88,2
86,65,0
35,74,2
148,29,0
77,64,0
181,74,1
76,47,0
32,30,3
86,42,0
39,19,3
152,24,0
33,23,3
190,90,1
79,53,0
150,25,0
79,52,0
42,80,2
186,78,1
29,11,3
82,52,0
27,33,3
37,11,3
65,49,0
38,77,2
98,39,0
32,18,3
46,22,3
80,56,0
96,41,0
128,19,0
142,20,0
35,88,2
138,15,0
105,15,0
182,73,1
76,63,0
33,74,2
139,29,0
30,81,2
186,76,1
36,25,3
28,20,3
31,20,3
31,78,2
24,32,3
149,84,1
137,31,0
28,25,3
181,73,1
113,22,0
154,76,1
134,31,0
36,65,2
73,44,0
87,40,0
27,82,2
28,33,3
48,55,2
32,22,3
129,24,0
33,21,3
155,75,1
37,61,2
23,75,2
184,68,1
34,74,2
46,71,2
28,25,3
45,78,2
132,11,0
126,25,0
85,54,0
62,53,0
154,88,1
48,75,2
29,71,2
126,29,0
123,83,1
179,89,1
27,26,3
83,42,0
44,80,2
192,87,1
33,17,3
89,58,0
125,34,0
31,18,3
159,98,1
95,45,0
38,25,3
21,15,3
33,23,3
30,87,2
61,26,0
47,82,2
156,18,0
164,78,1
154,16,0
107,43,0
34,85,2
32,13,3
27,85,2
188,100,1
38,13,3
171,85,1
25,76,2
83,48,0
137,25,0
62,65,0
199,80,1
112,28,0
15,16,3
186,95,1
166,27,0
96,53,0
199,86,1
38,81,2
33,82,2
160,83,1
95,37,0
117,35,0
26,25,3
98,32,0
42,77,2
23,11,3
97,60,0
33,15,3
30,33,3
88,32,0
199,77,1
91,35,0
45,33,3
40,68,2
121,36,0
26,33,3
143,95,1
78,43,0
162,96,1
78,52,0
37,73,2
34,56,2
24,72,2
184,72,1
31,61,2
135,32,0
22,22,3
88,62,0
31,31,3
152,28,0
108,45,0
31,31,3
26,22,3
26,28,3
94,41,0
204,91,1
174,77,1
187,66,1
140,80,1
43,58,2
227,89,1
196,87,1
154,31,0
36,63,2
121,36,0
34,27,3
41,34,3
75,36,0
28,31,3
111,25,0
138,88,1
34,25,3
147,92,1
118,43,0
48,80,2
27,19,3
30,27,3
24,22,3
33,65,2
36,62,2
81,57,0
24,72,2
122,22,0
128,30,0
203,82,1
86,46,0
27,55,2
61,41,0
81,54,0
29,67,2
127,41,0
77,35,0
85,57,0
29,16,3
73,51,0
39,27,3
72,37,0
32,57,2
164,84,1
33,35,3
37,95,2
28,25,3
30,17,3
89,41,0
45,94,2
88,37,0
80,40,0
37,70,2
115,19,0
43,30,3
99,34,0
28,79,2
113,27,0
136,23,0
30,77,2
84,49,0
194,89,1
196,60,1
47,69,2
36,23,3
197,85,1
161,54,1
199,89,1
89,40,0
193,81,1
119,31,0
19,18,3
84,47,0
42,32,3
150,19,0
145,34,0
127,9,0
32,30,3
126,23,0
121,17,0
151,26,0
101,51,0
34,73,2
40,71,2
27,16,3
41,16,3
194,95,1
40,82,2
72,59,0
30,23,3
73,32,0
160,67,1
29,16,3
191,98,1
199,82,1
25,27,3
40,76,2
83,24,0
108,27,0
185,77,1
42,79,2
182,84,1
69,51,0
172,72,1
51,77,2
115,25,0
29,29,3
36,23,3
180,87,1
122,20,0
80,61,0
215,88,1
108,15,0
148,87,1
36,21,3
146,72,1
43,11,3
40,58,2
47,79,2
185,73,1
22,20,3
33,76,2
28,22,3
42,25,3
135,27,0
180,78,1
179,85,1
41,24,3
123,17,0
179,66,1
30,72,2
39,81,2
76,41,0
115,23,0
19,81,2
82,35,0
112,41,0
131,6,0
25,27,3
119,43,0
34,89,2
75,60,0
124,26,0
79,47,0
187,82,1
25,33,3
30,14,3
35,69,2
43,69,2
163,100,1
151,34,0
198,79,1
26,22,3
122,29,0
190,90,1
189,80,1
150,24,0
39,75,2
67,81,2
72,40,0
23,30,3
100,22,0
38,18,3
110,46,0
223,78,1
36,70,2
87,61,0
93,36,0
84,42,0
22,80,2
113,17,0
124,37,0
179,81,1
141,64,1
88,55,0
168,73,1
46,23,3
50,80,2
25,25,3
33,16,3
128,15,0
37,14,3
134,34,0
48,33,3
69,65,0
186,91,1
171,74,1
35,79,2
40,67,2
15,30,3
172,81,1
39,100,2
169,100,1
31,73,2
101,25,0
29,28,3
163,89,1
142,91,1
64,47,0
140,71,1
99,20,0
71,44,0
33,21,3
37,19,3
197,68,1
152,68,1
30,19,3
33,27,3
19,20,3
36,69,2
38,26,3
31,78,2
101,48,0
97,74,0
113,30,0
199,79,1
29,25,3
174,89,1
149,32,0
69,58,0
118,25,0
26,33,3
44,70,2
75,53,0
43,28,3
28,21,3
47,49,2
115,19,0
22,29,3
176,94,1
79,48,0
183,71,1
30,73,2
28,78,2
31,38,3
187,95,1
175,81,1
156,78,1
156,20,0
148,64,1
172,77,1
182,80,1
35,63,2
23,26,3
87,43,0
141,25,0
24,12,3
47,72,2
48,65,2
131,31,0
20,72,2
70,55,0
77,56,0
47,76,2
79,52,0
38,73,2
140,95,1
132,20,0
98,58,0
143,27,0
34,93,2
37,74,2
81,40,0
148,87,1
33,30,3
108,50,0
82,39,0
32,24,3
105,25,0
29,87,2
95,54,0
35,75,2
31,24,3
36,25,3
68,42,0
28,23,3
33,69,2
23,19,3
126,23,0
38,36,3
184,82,1
131,33,0
34,23,3
27,22,3
111,40,0
184,100,1
97,49,0
45,28,3
33,71,2
66,47,0
90,42,0
190,69,1
163,17,0
104,78,0
48,82,2
28,52,2
31,30,3
188,76,1
21,18,3
45,73,2
40,75,2
75,56,0
73,25,0
72,45,0
125,19,0
89,59,0
100,56,0
169,94,1
121,27,0
151,29,0
33,81,2
138,29,0
110,29,0
32,35,3
35,72,2
117,60,0
74,49,0
189,96,1
39,93,2
29,29,3
30,30,3
135,29,0
18,24,3
37,31,3
149,33,0
38,77,2
32,27,3
92,70,0
181,79,1
119,40,0
172,78,1
115,33,0
36,19,3
37,72,2
41,15,3
144,89,1
39,65,2
33,27,3
32,21,3
99,32,0
31,75,2
32,90,2
64,39,0
194,70,1
95,48,0
33,81,2
36,79,2
83,54,0
137,27,0
37,82,2
20,21,3
38,28,3
83,35,0
96,22,0
34,25,3
193,80,1
103,31,0
96,44,0
117,23,0
150,29,0
31,29,3
30,21,3
125,16,0
32,24,3
68,47,0
160,83,1
50,79,2
144,94,1
38,25,3
141,30,0
134,21,0
162,94,1
48,73,2
124,28,0
168,78,1
37,56,2
79,30,0
92,40,0
40,80,2
162,4,0
50,79,2
93,31,0
91,47,0
112,30,0
168,86,1
38,21,3
33,10,3
32,86,2
96,27,0
164,68,1
57,59,0
34,33,3
39,81,2
103,47,0
107,33,0
160,75,1
86,47,0
115,2,0
191,86,1
173,95,1
50,67,2
91,34,0
34,81,2
65,34,0
106,40,0
161,78,1
39,28,3
196,83,1
80,59,0
29,77,2
37,37,3
127,89,1
111,34,0
118,27,0
25,77,2
31,23,3
35,86,2
189,86,1
23,20,3
110,44,0
81,68,0
87,43,0
132,85,1
87,54,0
166,85,1
128,57,0
31,64,2
112,51,0
37,78,2
94,48,0
35,18,3
29,12,3
173,83,1
60,49,0
186,73,1
44,86,2
109,64,0
131,30,0
179,67,1
31,36,3
143,40,0
32,20,3
30,19,3
46,68,2
113,21,0
86,38,0
97,25,0
29,71,2
181,74,1
115,57,0
196,76,1
71,74,2
111,42,0
227,89,1
47,67,2
209,72,1
101,27,0
138,18,0
36,26,3
70,41,0
169,76,1
35,20,3
16,16,3
121,35,0
36,61,2
37,26,3
148,8,0
187,68,1
83,50,0
32,83,2
152,32,0
87,39,0
44,79,2
161,76,1
143,39,0
41,58,2
169,71,1
128,88,1
16,13,3
25,34,3
21,29,3
39,63,2
77,55,0
123,22,0
199,83,1
113,26,0
27,34,3
126,36,0
136,85,1
27,36,3
26,29,3
23,28,3
183,81,1
174,69,1
32,60,2
175,94,1
24,14,3
115,26,0
186,100,1
145,71,1
176,84,1
121,9,0
77,52,0
121,19,0
86,59,0
201,87,1
28,93,2
52,47,2
107,64,0
38,21,3
185,81,1
121,28,0
163,92,1
45,85,2
27,26,3
102,46,0
36,29,3
41,31,3
36,72,2
33,46,2
79,52,0
107,13,0
81,46,0
137,17,0
34,26,3
41,84,2
32,73,2
27,89,2
161,12,0
65,48,0
23,16,3
166,72,1
110,14,0
30,12,3
86,61,0
142,36,0
139,13,0
27,62,2
41,86,2
72,64,0
40,38,3
120,33,0
146,38,0
139,16,0
173,62,1
73,55,0
46,64,2
149,11,0
200,79,1
24,40,3
195,93,1
31,88,2
129,19,0
88,57,0
84,49,0
20,26,3
179,87,1
31,73,2
153,75,1
192,95,1
105,24,0
35,15,3
78,52,0
70,61,0
74,55,0
36,75,2
36,76,2
33,25,3
22,27,3
107,27,0
26,24,3
26,69,2
32,80,2
107,48,0
117,22,0
49,75,2
61,36,0
155,90,1
23,26,3
124,16,0
165,100,1
136,28,0
77,39,0
73,47,0
27,39,3
22,66,2
35,49,2
121,30,0
105,57,0
163,77,1
65,28,0
79,42,0
46,76,2
33,14,3
141,21,0
75,56,0
40,14,3
203,76,1
49,93,2
42,32,3
40,30,3
171,61,1
50,78,2
58,61,0
192,85,1
148,79,1
179,89,1
31,32,3
35,79,2
179,79,1
22,29,3
196,77,1
33,29,3
153,74,1
162,84,1
24,15,3
153,64,1
111,23,0
37,23,3
205,64,1
43,56,2
104,30,0
42,51,2
164,83,1
25,81,2
124,24,0
35,17,3
34,15,3
180,77,1
23,78,2
31,31,3
30,73,2
111,56,0
30,35,3
83,57,0
48,81,2
111,21,0
57,39,0
52,63,2
15,71,2
28,32,3
33,29,3
105,42,0
24,85,2
16,67,2
73,57,0
151,84,1
25,82,2
132,41,0
37,25,3
98,37,0
128,31,0
23,27,3
103,56,0
183,85,1
26,25,3
176,69,1
41,30,3
25,78,2
125,21,0
22,70,2
161,51,1
224,70,1
137,19,0
85,36,0
136,21,0
63,47,0
200,100,1
120,21,0
198,94,1
75,67,0
25,81,2
38,89,2
38,19,3
26,25,3
131,35,0
34,22,3
33,70,2
107,28,0
35,67,2
167,77,1
168,79,1
142,42,0
91,44,0
26,39,3
89,42,0
162,88,1
125,41,0
147,27,0
31,64,2
