Age,Annual_Income_k
39,47
51,70
40,68
38,96
54,163
66,164
29,42
64,140
18,35
38,51
35,102
44,135
35,75
18,25
25,17
20,23
63,170
19,15
43,42
24,43
51,125
48,99
18,58
22,25
36,79
49,107
46,139
58,109
18,22
64,179
49,89
61,147
24,31
59,163
18,25
53,141
24,29
53,99
22,23
34,61
32,59
33,55
25,39
24,27
26,20
53,126
37,69
20,15
32,24
32,66
30,84
27,38
58,148
28,33
33,38
47,101
18,15
24,15
39,62
47,76
41,121
35,54
22,36
22,36
25,29
34,51
49,87
21,21
45,98
50,140
46,118
21,29
21,25
38,119
48,112
37,82
39,65
40,47
18,50
36,62
63,163
23,51
32,50
59,94
26,15
30,78
58,154
42,42
34,48
43,121
42,119
29,79
59,148
45,107
37,77
19,20
19,72
63,135
37,67
36,54
57,105
62,155
23,39
54,162
39,70
18,15
61,171
56,125
22,48
57,131
27,38
31,44
31,80
38,54
49,129
45,126
22,38
42,45
48,122
26,17
46,115
35,74
36,91
56,97
20,15
49,98
31,85
59,179
26,15
49,117
30,33
39,56
52,130
18,23
62,171
61,162
50,123
21,47
47,81
19,15
20,31
61,177
20,45
22,63
31,55
36,71
55,177
30,15
32,54
35,94
31,64
23,48
26,15
30,28
34,56
45,146
21,54
37,91
35,63
54,118
34,91
61,145
34,59
23,38
37,51
28,15
55,107
24,24
51,129
35,71
54,111
35,69
26,38
50,106
21,15
36,69
20,47
27,15
30,64
37,69
40,45
23,15
32,22
35,76
40,50
49,99
52,100
35,92
51,91
43,90
62,142
34,88
21,26
51,117
19,41
62,147
26,29
21,16
23,16
33,70
18,44
54,163
51,123
21,29
61,142
45,104
43,103
50,121
36,45
33,54
37,47
18,41
21,47
42,25
23,21
49,107
24,19
55,146
36,37
18,28
62,133
35,63
28,20
21,28
27,34
50,83
48,110
36,73
30,71
43,125
42,65
32,56
48,117
48,160
61,171
20,31
36,51
40,75
64,167
24,15
38,79
48,127
22,15
56,187
40,56
27,28
18,15
24,23
32,88
29,21
42,79
56,97
58,151
55,92
44,146
21,48
23,15
18,47
63,191
27,15
47,120
29,67
36,61
51,110
29,93
65,155
45,115
18,15
63,183
58,114
40,71
65,165
24,40
21,43
45,115
41,134
46,130
19,27
41,125
39,70
18,15
40,83
24,15
22,45
39,124
65,150
38,39
32,46
38,50
47,132
20,46
53,181
34,53
57,184
34,68
23,25
22,15
29,59
62,141
20,15
50,124
18,22
37,87
23,41
55,116
43,56
23,41
20,21
20,35
39,49
67,175
48,104
63,131
40,109
39,31
70,171
65,167
55,122
22,15
47,131
25,33
29,48
34,39
21,43
44,110
52,169
25,28
54,176
47,53
42,74
20,15
22,33
18,22
21,15
36,40
35,77
29,58
47,103
49,119
66,159
37,57
31,25
29,49
35,73
32,50
49,142
34,38
36,78
21,15
33,67
28,33
33,41
21,15
58,163
24,50
23,68
20,28
22,15
38,49
27,65
37,42
35,46
36,55
45,98
30,39
41,37
31,72
45,114
51,106
19,32
36,64
64,170
65,119
28,16
26,22
65,164
57,108
53,127
38,47
64,156
47,121
18,15
36,60
30,43
54,98
53,128
49,79
23,39
48,106
47,94
54,112
41,66
21,24
25,19
20,15
29,15
64,183
38,78
33,82
22,24
33,33
57,131
21,15
64,187
53,114
18,33
25,31
36,19
44,114
50,105
39,73
62,162
32,67
59,140
44,69
46,110
21,37
26,24
61,167
47,99
35,84
69,170
44,91
54,167
26,20
54,140
30,15
25,15
29,35
62,143
18,18
34,68
21,22
30,28
50,115
49,107
61,164
29,26
47,94
61,129
32,59
37,77
36,142
45,107
26,77
36,38
45,48
50,72
19,33
47,52
21,56
33,84
48,113
35,59
63,159
19,46
22,15
22,16
40,54
57,191
54,128
53,108
19,21
47,118
63,173
63,155
54,108
37,65
31,121
33,48
18,39
42,104
27,15
44,58
70,151
23,19
37,85
39,40
36,51
28,74
45,93
48,134
61,157
52,126
38,74
58,143
32,24
31,39
19,27
24,15
49,90
27,15
50,128
33,45
32,92
63,174
47,98
22,36
38,49
18,39
47,111
37,121
59,193
20,24
42,109
22,35
57,171
53,176
30,59
52,138
41,101
32,55
24,19
27,15
65,134
55,133
22,15
24,32
18,17
22,15
27,30
20,33
41,61
40,108
45,121
65,154
22,28
60,171
54,125
32,79
46,110
19,45
40,55
33,70
30,35
21,20
25,63
45,98
18,37
60,181
35,61
50,94
19,23
18,34
23,57
51,137
60,157
56,152
56,100
42,82
47,105
62,155
22,15
18,30
37,53
52,109
18,15
42,59
42,45
49,123
26,58
32,74
34,76
42,67
35,68
37,62
52,182
50,100
40,79
52,114
22,63
23,26
35,47
54,168
24,39
44,65
36,46
23,26
43,110
32,89
39,72
22,28
22,27
26,29
31,51
21,23
21,17
18,15
48,106
27,53
62,158
49,126
25,24
20,20
44,46
62,203
40,63
32,34
34,58
31,59
38,51
63,135
57,94
42,115
42,80
18,15
23,39
63,148
18,15
28,24
38,64
33,76
35,111
32,56
48,99
38,81
41,76
47,135
47,115
55,118
34,76
51,118
44,118
24,51
35,59
46,83
