Age,Annual_Income_k,Cluster
39,47,0
51,70,2
40,68,2
38,96,2
54,163,1
66,164,1
29,42,0
64,140,1
18,35,0
38,51,0
35,102,2
44,135,1
35,75,2
18,25,0
25,17,0
20,23,0
63,170,1
19,15,0
43,42,0
24,43,0
51,125,1
48,99,2
18,58,0
22,25,0
36,79,2
49,107,2
46,139,1
58,109,2
18,22,0
64,179,1
49,89,2
61,147,1
24,31,0
59,163,1
18,25,0
53,141,1
24,29,0
53,99,2
22,23,0
34,61,0
32,59,0
33,55,0
25,39,0
24,27,0
26,20,0
53,126,1
37,69,2
20,15,0
32,24,0
32,66,2
30,84,2
27,38,0
58,148,1
28,33,0
33,38,0
47,101,2
18,15,0
24,15,0
39,62,0
47,76,2
41,121,2
35,54,0
22,36,0
22,36,0
25,29,0
34,51,0
49,87,2
21,21,0
45,98,2
50,140,1
46,118,2
21,29,0
21,25,0
38,119,2
48,112,2
37,82,2
39,65,2
40,47,0
18,50,0
36,62,0
63,163,1
23,51,0
32,50,0
59,94,2
26,15,0
30,78,2
58,154,1
42,42,0
34,48,0
43,121,2
42,119,2
29,79,2
59,148,1
45,107,2
37,77,2
19,20,0
19,72,2
63,135,1
37,67,2
36,54,0
57,105,2
62,155,1
23,39,0
54,162,1
39,70,2
18,15,0
61,171,1
56,125,1
22,48,0
57,131,1
27,38,0
31,44,0
31,80,2
38,54,0
49,129,1
45,126,1
22,38,0
42,45,0
48,122,2
26,17,0
46,115,2
35,74,2
36,91,2
56,97,2
20,15,0
49,98,2
31,85,2
59,179,1
26,15,0
49,117,2
30,33,0
39,56,0
52,130,1
18,23,0
62,171,1
61,162,1
50,123,1
21,47,0
47,81,2
19,15,0
20,31,0
61,177,1
20,45,0
22,63,0
31,55,0
36,71,2
55,177,1
30,15,0
32,54,0
35,94,2
31,64,0
23,48,0
26,15,0
30,28,0
34,56,0
45,146,1
21,54,0
37,91,2
35,63,0
54,118,2
34,91,2
61,145,1
34,59,0
23,38,0
37,51,0
28,15,0
55,107,2
24,24,0
51,129,1
35,71,2
54,111,2
35,69,2
26,38,0
50,106,2
21,15,0
36,69,2
20,47,0
27,15,0
30,64,0
37,69,2
40,45,0
23,15,0
32,22,0
35,76,2
40,50,0
49,99,2
52,100,2
35,92,2
51,91,2
43,90,2
62,142,1
34,88,2
21,26,0
51,117,2
19,41,0
62,147,1
26,29,0
21,16,0
23,16,0
33,70,2
18,44,0
54,163,1
51,123,1
21,29,0
61,142,1
45,104,2
43,103,2
50,121,2
36,45,0
33,54,0
37,47,0
18,41,0
21,47,0
42,25,0
23,21,0
49,107,2
24,19,0
55,146,1
